,percent
API,469
vuejs,596
rest api,402
docker,246
frontend,355
nestjs,459
typescript,159
RabbitMQ,315
backend,341
nest.js,301
kubernetes,442
js,189
Redis,165
PostgreSQL,126
laravel,206
ci/cd,250
graphql,157
Next.js,201
nuxt.js,134
PHP,81
REST,82
ReactJS,91
github,216
SQL,69
gitlab,134
Nginx,124
scss,110
ES6,86
webpack,63
vue.js,47
Java Script,58
NoSQL,76
Express.js,83
figma,100
react native,88
HTTP,78
Node.js,37
JSON API,90
JSON,136
react,24
MVC,61
react.js,33
Express,53
Python,32
Linux,23
ORACLE,101
nodejs,39
QA,79
go,147
MySQL,9
mobx,76
HTML,7
JavaScript,0
MongoDB,8
Jenkins,79
vue,9
C#,23
Unit Testing,44
.net core,80
Git,-1
jest,54
websocket,49
redux,-1
angular,0
Ajax,11
vuex,21
CSS,-22
CSS3,-20
HTML/CSS,8
C++,44
SOAP,67
kafka,41
Scrum,-9
HTML5,-32
golang,40
swagger,41
typeorm,44
Java,-13
Symfony,4
Sass,-23
jQuery,-42
UI,41
websockets,33
aws,-13
solid,51
SPA,-11
Bootstrap,-31
AngularJS,-76
webrtc,69
Atlassian Jira,-53
MS SQL,-14
it,21
Design Patterns,36
CMS Wordpress,44
Less,-59
Unity,57
Agile Project Management,-65
grpc,33
.NET Framework,-24
Ext JS,39
Yii,-10
ASP.NET,-11
elasticsearch,-1
WebGL,25
1С-Битрикс,36
yii2,-78
Teamleading,34
Nuxt,-30
MS SQL Server,11
