,change
grafana,265
kubernetes,88
devops,160
Prometheus,221
gitlab,169
ansible,70
ci/cd,77
docker,39
ELK,184
gitlab ci,257
kafka,152
Jenkins,38
terraform,60
PostgreSQL,36
helm,211
openshift,99
RabbitMQ,85
clickhouse,272
Bash,6
Linux,0
Zabbix,33
Nginx,8
elasticsearch,109
Администрирование серверов Linux,16
k8s,68
Redis,26
Git,-15
Python,-17
IaC,97
SQL,-16
PowerShell,33
TCP/IP,-1
Unix,7
Docker-compose,163
VMware,38
ORACLE,35
Ubuntu,52
golang,1
MongoDB,-16
MySQL,-34
go,25
TeamCity,-9
AWS,-51
Java,-40
MS SQL,-4
Groovy,33
CentOS,-69
Ubuntu Server,27
Debian,-2
OpenStack,69
Nexus,48
Atlassian Jira,-44
PHP,-21
azure,-41
Node.js,48
Bitbucket,3
MS SQL Server,-8
JavaScript,-7
NoSQL,-43
HTTP,3
KVM,-1
Puppet,-29
Администрирование серверов Windows,-5
Apache Maven,-26
sre,5
Shell Scripting,-25
Atlassian Confluence,-7
Windows Server,-2
Ruby,-16
